TABLA,Nombre,Tipo,Unidad,Valores,Valor por defecto,Restricciones,Descripción,Ejemplo
PEDIDO_DOMICILIO,Num_Pedido,INT,Número,Referencia a PEDIDO,-,"PK, FK → PEDIDO, NOT NULL",Referencia al pedido base (relación 1:1),"1, 2, 3..."
PEDIDO_DOMICILIO,Telefono_Contacto,VARCHAR(15),Texto,Numérico con prefijo,-,NOT NULL,Teléfono del cliente para contacto,+34 600123456
PEDIDO_DOMICILIO,Poblacion,VARCHAR(100),Texto,Alfanumérico,-,NOT NULL,Población de entrega,Jerez de la Frontera
PEDIDO_DOMICILIO,Direccion_Entrega,VARCHAR(200),Texto,Alfanumérico,-,NOT NULL,Dirección completa de entrega,"Calle Mayor 123, 3ºB"
PEDIDO_DOMICILIO,Num_Repartidor,INT,Número,Referencia a REPARTIDOR,-,"FK → REPARTIDOR, NOT NULL",Repartidor asignado al pedido,"1, 2, 3..."

PRODUCTO_INGREDIENTE,Cod_Producto,INT,Número,Referencia a PRODUCTO,-,"PK (parte 1 de 2), FK → PRODUCTO, NOT NULL",Código del producto (parte de clave compuesta),"1, 2, 3..."
PRODUCTO_INGREDIENTE,Cod_Ingrediente,INT,Número,Referencia a INGREDIENTE,-,"PK (parte 2 de 2), FK → INGREDIENTE, NOT NULL",Código del ingrediente (parte de clave compuesta),"1, 2, 3..."

COMPOSICION_MENU,Cod_Menu,INT,Número,Referencia a MENU,-,"PK (parte 1 de 2), FK → MENU, NOT NULL",Código del menú (parte de clave compuesta),"1, 2, 3..."
COMPOSICION_MENU,Cod_Producto,INT,Número,Referencia a PRODUCTO,-,"PK (parte 2 de 2), FK → PRODUCTO, NOT NULL",Código del producto (parte de clave compuesta),"1, 2, 3..."
COMPOSICION_MENU,Cantidad,INT,Unidades,1 a 100,-,"CHECK > 0, NOT NULL",Unidades del producto en el menú,"1, 2, 3"

DETALLE_PEDIDO_PRODUCTO,Num_Pedido,INT,Número,Referencia a PEDIDO,-,"PK (parte 1 de 2), FK → PEDIDO, NOT NULL",Número de pedido (parte de clave compuesta),"1, 2, 3..."
DETALLE_PEDIDO_PRODUCTO,Cod_Producto,INT,Número,Referencia a PRODUCTO,-,"PK (parte 2 de 2), FK → PRODUCTO, NOT NULL",Código del producto (parte de clave compuesta),"1, 2, 3..."
DETALLE_PEDIDO_PRODUCTO,Cantidad,INT,Unidades,1 a 100,-,"CHECK > 0, NOT NULL",Unidades solicitadas,"1, 2, 5"
DETALLE_PEDIDO_PRODUCTO,Precio_Venta,DECIMAL(6,2),Euros (€),0.01 a 9999.99,-,"CHECK > 0, NOT NULL",Precio unitario en el momento de la venta,5.50

DETALLE_PEDIDO_MENU,Num_Pedido,INT,Número,Referencia a PEDIDO,-,"PK (parte 1 de 2), FK → PEDIDO, NOT NULL",Número de pedido (parte de clave compuesta),"1, 2, 3..."
DETALLE_PEDIDO_MENU,Cod_Menu,INT,Número,Referencia a MENU,-,"PK (parte 2 de 2), FK → MENU, NOT NULL",Código del menú (parte de clave compuesta),"1, 2, 3..."
DETALLE_PEDIDO_MENU,Cantidad,INT,Unidades,1 a 100,-,"CHECK > 0, NOT NULL",Unidades solicitadas,"1, 2, 3"
DETALLE_PEDIDO_MENU,Precio_Venta,DECIMAL(6,2),Euros (€),0.01 a 9999.99,-,"CHECK > 0, NOT NULL",Precio del menú en el momento de la venta,6.90
